review_id,k,grade,n_pathologies,pathologies,theta_original,theta_corrected,correction_pct,n_modes,n_outliers,bias_detected,stability,pct_sampling,pct_heterogeneity,pct_model,pct_bias,pct_outlier
CD000028,21,C,2,multimodal;pub bias,-0.2945,-0.274,7.0,2,0,True,100.0,70.1,0.0,0.0,29.9,0.0
CD000143,12,B,1,multimodal,-0.3594,-0.3344,7.0,2,0,False,75.0,12.8,86.3,0.2,0.7,0.0
CD000219,21,B,1,multimodal,-0.2367,-0.2367,0.0,2,0,False,100.0,14.3,85.2,0.5,0.0,0.0
CD000478,13,B,1,multimodal,-0.3794,-0.3794,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD000547,48,D,3,multimodal;6 outliers;pub bias,1.0673,0.4555,57.3,2,6,True,100.0,1.5,38.6,1.4,57.5,1.0
CD001155,59,D,3,multimodal;2 outliers;pub bias,-0.1339,-0.1404,4.9,2,2,True,75.0,4.9,94.8,0.0,0.2,0.0
CD001321,27,D,3,multimodal;3 outliers;pub bias,-0.3496,-0.1887,46.0,2,3,True,100.0,4.2,54.1,5.5,34.2,2.1
CD001396,30,C,2,multimodal;pub bias,0.8946,0.7306,18.3,2,0,True,100.0,4.8,36.6,0.4,58.2,0.0
CD001431,61,D,3,multimodal;3 outliers;pub bias,-0.023,-0.0001,99.4,2,3,True,100.0,4.0,93.0,0.2,1.2,1.6
CD001533,21,B,1,multimodal,-0.0658,-0.0658,0.0,2,0,False,100.0,31.1,68.7,0.2,0.0,0.0
CD001703,21,B,1,pub bias,0.824,0.7358,10.7,1,0,True,100.0,41.1,0.0,0.0,58.9,0.0
CD001797,5,A,0,,0.8166,0.8166,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD001837,49,D,3,multimodal;1 outliers;pub bias,0.2466,0.127,48.5,2,1,True,100.0,2.1,39.0,0.4,58.2,0.4
CD001909,25,C,2,multimodal;pub bias,0.5526,0.5526,0.0,2,0,True,100.0,100.0,0.0,0.0,0.0,0.0
CD002042,53,D,3,multimodal;19 outliers;pub bias,-0.5324,-0.4029,24.3,2,19,True,100.0,1.6,71.0,2.8,18.0,6.6
CD002112,21,D,3,multimodal;1 outliers;pub bias,0.2866,0.2215,22.7,2,1,True,100.0,9.4,65.2,2.1,19.7,3.7
CD002115,5,D,2,multimodal;pub bias,0.791,0.3881,50.9,2,0,True,100.0,6.7,21.1,4.7,67.6,0.0
CD002122,56,D,3,multimodal;9 outliers;pub bias,-0.2112,-0.0864,59.1,2,9,True,100.0,3.0,81.4,1.4,14.2,0.0
CD002203,50,D,3,multimodal;4 outliers;pub bias,-0.1308,-0.2102,60.7,2,4,True,75.0,4.9,84.2,0.3,7.2,3.3
CD002243,180,C,2,multimodal;pub bias,-0.099,-0.06,39.4,2,0,True,100.0,2.0,63.1,0.2,34.7,0.0
CD002290,16,D,3,multimodal;4 outliers;pub bias,-0.4903,-0.2013,59.0,2,4,True,100.0,2.9,31.8,4.6,57.1,3.6
CD002303,5,A,0,,0.438,0.438,0.0,1,0,False,100.0,28.3,71.3,0.5,0.0,0.0
CD002971,10,B,1,pub bias,-0.599,-0.5192,13.3,1,0,True,100.0,50.6,16.3,0.1,33.0,0.0
CD003218,5,B,1,pub bias,0.5303,0.5303,0.0,1,0,True,100.0,100.0,0.0,0.0,0.0,0.0
CD003331,35,D,2,multimodal;pub bias,-0.0756,-0.0187,75.3,2,0,True,100.0,58.4,0.0,0.0,41.6,0.0
CD003357,7,C,1,1 outliers,0.5704,0.4539,20.4,1,1,False,100.0,15.5,67.6,0.3,0.0,16.6
CD003376,15,C,1,pub bias,-0.277,-0.1527,44.9,1,0,True,100.0,43.5,0.0,0.0,56.5,0.0
CD003414,16,A,0,,-0.0898,-0.0898,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD003429,6,D,1,pub bias,0.5499,0.1614,70.6,1,0,True,100.0,19.5,0.0,0.0,80.5,0.0
CD003477,11,A,0,,-0.0477,-0.0477,0.0,1,0,False,100.0,22.8,77.2,0.0,0.0,0.0
CD003511,8,B,1,multimodal,-0.0984,-0.0984,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD003519,15,D,3,multimodal;1 outliers;pub bias,0.209,0.1869,10.6,2,1,True,100.0,15.2,63.7,0.6,18.2,2.3
CD003594,11,A,0,,-0.6409,-0.6409,0.0,1,0,False,75.0,18.4,81.5,0.1,0.0,0.0
CD003598,21,C,2,multimodal;pub bias,-0.1686,-0.1685,0.1,2,0,True,100.0,100.0,0.0,0.0,0.0,0.0
CD003743,6,B,1,multimodal,-0.998,-0.9609,3.7,2,0,False,100.0,93.4,0.0,0.0,6.6,0.0
CD003774,42,C,2,multimodal;pub bias,-0.8892,-0.8389,5.7,2,0,True,100.0,36.1,0.0,0.0,63.9,0.0
CD003962,6,C,2,multimodal;pub bias,-0.2292,-0.2931,27.9,2,0,True,100.0,63.4,0.5,0.0,36.1,0.0
CD004184,7,B,1,multimodal,-0.1096,-0.1096,0.0,2,0,False,100.0,35.1,63.6,1.3,0.0,0.0
CD004307,42,B,1,multimodal,0.4196,0.4196,0.0,2,0,False,100.0,12.4,87.6,0.0,0.0,0.0
CD004376,104,D,2,multimodal;pub bias,-0.0254,-0.0448,76.6,2,0,True,100.0,58.8,0.0,0.0,41.2,0.0
CD004406,6,D,1,pub bias,0.1083,0.1718,58.7,1,0,True,100.0,38.0,0.0,0.0,62.0,0.0
CD004417,17,C,2,4 outliers;pub bias,-3.5277,-3.1857,9.7,1,4,True,100.0,4.7,60.9,2.0,32.3,0.1
CD004508,6,A,0,,-0.062,-0.062,0.0,1,0,False,100.0,21.2,78.3,0.5,0.0,0.0
CD004661,12,B,1,multimodal,-0.0422,-0.0422,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD004667,16,B,1,multimodal,-0.0926,-0.0747,19.3,2,0,False,75.0,18.6,68.8,0.1,12.4,0.0
CD004736,14,D,3,multimodal;3 outliers;pub bias,-1.1842,-0.5281,55.4,2,3,True,100.0,2.7,20.1,5.6,70.1,1.5
CD004762,5,C,2,multimodal;pub bias,-0.326,-0.1738,46.7,2,0,True,75.0,8.6,24.2,4.7,62.4,0.0
CD004871,5,B,1,pub bias,-0.4359,-0.4359,0.0,1,0,True,87.5,23.2,74.8,2.0,0.0,0.0
CD004925,31,B,1,pub bias,-1.0626,-0.8754,17.6,1,0,True,100.0,17.9,0.0,0.0,82.1,0.0
CD004953,11,D,3,multimodal;pub bias;unstable,0.0023,-0.0405,1865.9,2,0,True,25.0,23.1,68.6,0.3,7.9,0.0
CD005133,39,D,3,multimodal;pub bias;unstable,-0.1025,-0.0558,45.6,2,0,True,50.0,14.7,36.9,0.4,48.0,0.0
CD005187,5,B,1,multimodal,-0.3654,-0.3654,0.0,2,0,False,100.0,52.8,47.2,0.0,0.0,0.0
CD005343,31,D,3,multimodal;1 outliers;pub bias,-0.5631,-0.323,42.6,2,1,True,100.0,5.2,43.5,7.8,39.9,3.6
CD005495,9,D,1,pub bias,-0.1267,0.088,169.4,1,0,True,100.0,18.6,0.0,0.0,81.4,0.0
CD005566,28,D,3,multimodal;1 outliers;pub bias,-0.1776,-0.1258,29.2,2,1,True,75.0,16.1,0.0,0.0,0.0,83.9
CD005595,32,C,2,multimodal;pub bias,0.2041,0.2344,14.9,2,0,True,100.0,85.2,0.0,0.0,14.8,0.0
CD005951,7,A,0,,-0.2514,-0.2514,0.0,1,0,False,100.0,32.2,66.3,1.4,0.0,0.0
CD006023,18,C,2,1 outliers;pub bias,-1.2207,-0.9506,22.1,1,1,True,100.0,8.2,57.4,1.5,19.1,13.8
CD006124,6,D,0,,0.0204,0.4137,1922.9,1,0,False,100.0,8.3,38.2,0.9,52.6,0.0
CD006140,8,D,3,multimodal;1 outliers;pub bias,-0.2352,-0.0573,75.6,2,1,True,100.0,4.5,20.2,6.6,53.5,15.2
CD006185,78,B,1,pub bias,0.5409,0.4975,8.0,1,0,True,100.0,4.6,91.3,0.0,4.1,0.0
CD006257,9,C,2,multimodal;pub bias,-0.0901,-0.0629,30.2,2,0,True,100.0,35.5,55.0,1.9,7.6,0.0
CD006404,112,D,3,multimodal;3 outliers;pub bias,-0.0351,-0.0445,26.6,2,3,True,100.0,4.2,90.6,0.4,3.7,1.1
CD006475,27,B,1,multimodal,-0.1499,-0.1499,0.0,2,0,False,100.0,12.3,87.0,0.7,0.0,0.0
CD006515,5,B,1,multimodal,0.2932,0.2932,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD006536,43,B,1,multimodal,-0.1616,-0.1616,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD006632,23,D,3,multimodal;1 outliers;pub bias,-1.1693,-0.8943,23.5,2,1,True,100.0,7.3,63.1,4.5,23.1,2.0
CD006689,5,D,3,multimodal;pub bias;unstable,-0.4712,-0.6357,34.9,2,0,True,50.0,30.8,0.0,0.0,69.2,0.0
CD006913,29,D,4,multimodal;2 outliers;pub bias;unstable,-0.0594,-0.0383,35.6,2,2,True,62.5,5.3,71.7,5.3,0.0,17.7
CD006919,19,C,1,pub bias,0.4066,0.3207,21.1,1,0,True,100.0,14.4,68.6,0.2,16.9,0.0
CD007024,18,C,2,multimodal;pub bias,0.1389,0.1271,8.5,2,0,True,100.0,91.1,0.0,0.0,8.9,0.0
CD007026,7,B,1,multimodal,-0.0555,-0.0555,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD007079,10,D,3,multimodal;pub bias;unstable,-0.224,-0.135,39.7,2,0,True,37.5,12.7,46.5,6.2,34.6,0.0
CD007130,26,D,3,multimodal;2 outliers;pub bias,0.0349,0.0038,89.2,2,2,True,100.0,6.9,58.4,1.2,23.8,9.7
CD007310,7,B,1,multimodal,0.292,0.292,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD007374,6,A,0,,-0.1778,-0.1778,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD007491,8,A,0,,0.0489,0.0489,0.0,1,0,False,100.0,25.4,72.2,2.4,0.0,0.0
CD007569,6,A,0,,0.0815,0.0815,0.0,1,0,False,100.0,54.7,44.1,1.2,0.0,0.0
CD007572,10,C,2,multimodal;pub bias,-0.1549,-0.0781,49.6,2,0,True,100.0,4.1,23.0,0.5,72.4,0.0
CD007639,5,A,0,,-0.0323,-0.0323,0.0,1,0,False,75.0,23.8,74.5,1.7,0.0,0.0
